Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name	Strand
evm.TU.scaffold_216.3	104617719	104624540	chr3	1
evm.TU.scaffold_216.4	104465204	104543660	chr3	-1
evm.TU.scaffold_216.5	104296761	104297131	chr3	-1
evm.TU.scaffold_216.6	104204474	104205079	chr3	1
evm.TU.scaffold_216.7	104190753	104190914	chr3	1
evm.TU.scaffold_216.8	104168514	104168947	chr3	-1
evm.TU.scaffold_2.16	81635264	81641815	chr1	-1
evm.TU.scaffold_217.10	14940802	14972683	chr12	1
evm.TU.scaffold_217.11	14911572	14911724	chr12	-1
evm.TU.scaffold_217.12	14880407	14908226	chr12	-1
evm.TU.scaffold_217.13	14870515	14871374	chr12	-1
evm.TU.scaffold_217.15	14847365	14858572	chr12	1
evm.TU.scaffold_217.16	14798138	14799847	chr12	-1
evm.TU.scaffold_217.17	14741367	14765532	chr12	1
evm.TU.scaffold_217.18	14698887	14714585	chr12	1
evm.TU.scaffold_217.20	14665661	14677553	chr12	-1
evm.TU.scaffold_217.21	14614495	14640116	chr12	-1
evm.TU.scaffold_217.2	15346478	15357060	chr12	1
evm.TU.scaffold_217.22	14553177	14565803	chr12	-1
evm.TU.scaffold_217.23	14470575	14528753	chr12	-1
evm.TU.scaffold_21.7	23635967	23649879	chr8	1
evm.TU.scaffold_217.24	14397024	14400869	chr12	-1
evm.TU.scaffold_217.26	14335980	14336290	chr12	-1
evm.TU.scaffold_217.27	14325017	14325786	chr12	-1
evm.TU.scaffold_217.28	14239757	14240118	chr12	-1
evm.TU.scaffold_2.17	81646543	81646971	chr1	-1
evm.TU.scaffold_217.9	14987163	14987852	chr12	-1
evm.TU.scaffold_2.1	80619749	80621586	chr1	-1
evm.TU.scaffold_218.10	93110620	93110928	chr6	-1
evm.TU.scaffold_218.11	93218613	93220421	chr6	1
evm.TU.scaffold_218.12	93244108	93258967	chr6	-1
evm.TU.scaffold_218.13	93265324	93269070	chr6	-1
evm.TU.scaffold_218.14	93320528	93334395	chr6	1
evm.TU.scaffold_218.15	93385198	93429835	chr6	1
evm.TU.scaffold_218.17	93462089	93471684	chr6	-1
evm.TU.scaffold_218.20	93697727	93759740	chr6	-1
evm.TU.scaffold_21.8	23565955	23581002	chr8	1
evm.TU.scaffold_218.2	92548893	92558537	chr6	1
evm.TU.scaffold_218.7	92885412	92920548	chr6	1
evm.TU.scaffold_218.8	93079316	93085609	chr6	-1
evm.TU.scaffold_218.9	93087280	93088643	chr6	-1
evm.TU.scaffold_21.9	23543486	23556878	chr8	-1
evm.TU.scaffold_22.10	125458230	125458497	chr2	-1
evm.TU.scaffold_221.10	129537827	129538130	chr1	-1
evm.TU.scaffold_221.11	129538346	129538780	chr1	1
evm.TU.scaffold_22.11	125459328	125464695	chr2	1
evm.TU.scaffold_221.1	129321638	129324992	chr1	1
evm.TU.scaffold_221.12	129539922	129540575	chr1	1
evm.TU.scaffold_221.13	129541934	129542470	chr1	1
evm.TU.scaffold_221.14	129623063	129627263	chr1	1
evm.TU.scaffold_221.15	129631033	129639151	chr1	1
evm.TU.scaffold_221.18	129659905	129665370	chr1	1
evm.TU.scaffold_221.19	129683817	129688998	chr1	1
evm.TU.scaffold_221.20	129696069	129700598	chr1	1
evm.TU.scaffold_221.21	129703843	129707396	chr1	1
evm.TU.scaffold_22.12	125468914	125474112	chr2	1
evm.TU.scaffold_221.2	129345774	129350476	chr1	1
evm.TU.scaffold_221.22	129710209	129713710	chr1	-1
evm.TU.scaffold_221.23	129732689	129747478	chr1	1
evm.TU.scaffold_221.24	129750982	129753990	chr1	-1
evm.TU.scaffold_221.25	129813427	129820716	chr1	1
evm.TU.scaffold_221.26	129823241	129833760	chr1	1
evm.TU.scaffold_221.27	129839290	129841919	chr1	-1
evm.TU.scaffold_221.28	129927587	129937042	chr1	1
evm.TU.scaffold_221.29	129955136	129958017	chr1	1
evm.TU.scaffold_221.30	129959418	129971777	chr1	1
evm.TU.scaffold_221.31	129986902	130000495	chr1	-1
evm.TU.scaffold_22.13	125478727	125480277	chr2	-1
evm.TU.scaffold_221.3	129352248	129367428	chr1	-1
evm.TU.scaffold_221.32	130009936	130013038	chr1	1
evm.TU.scaffold_221.33	130016041	130023892	chr1	-1
evm.TU.scaffold_221.34	130030504	130039596	chr1	1
evm.TU.scaffold_221.35	130040683	130041442	chr1	-1
evm.TU.scaffold_221.36	130044282	130115994	chr1	-1
evm.TU.scaffold_221.37	130119837	130123456	chr1	-1
evm.TU.scaffold_221.38	130138603	130142322	chr1	-1
evm.TU.scaffold_221.39	130157107	130160116	chr1	1
evm.TU.scaffold_221.40	130226553	130228440	chr1	1
evm.TU.scaffold_221.41	130234381	130254149	chr1	1
evm.TU.scaffold_221.4	129416583	129419885	chr1	1
evm.TU.scaffold_221.42	130255486	130260335	chr1	-1
evm.TU.scaffold_221.43	130272519	130273488	chr1	1
evm.TU.scaffold_221.44	130292756	130295608	chr1	1
evm.TU.scaffold_221.45	130296564	130319937	chr1	1
evm.TU.scaffold_221.46	130324390	130330967	chr1	1
evm.TU.scaffold_221.47	130337464	130344358	chr1	1
evm.TU.scaffold_221.48	130345568	130351952	chr1	-1
evm.TU.scaffold_221.49	130366729	130367344	chr1	-1
evm.TU.scaffold_221.50	130379188	130386903	chr1	1
evm.TU.scaffold_221.51	130408025	130410752	chr1	-1
evm.TU.scaffold_221.5	129435592	129439515	chr1	-1
evm.TU.scaffold_221.52	130429488	130430124	chr1	-1
evm.TU.scaffold_221.53	130445446	130467420	chr1	-1
evm.TU.scaffold_221.54	130545816	130547270	chr1	-1
evm.TU.scaffold_221.55	130572851	130573315	chr1	1
evm.TU.scaffold_221.56	130573889	130574566	chr1	1
evm.TU.scaffold_221.57	130586934	130587393	chr1	1
evm.TU.scaffold_221.58	130595036	130595724	chr1	1
evm.TU.scaffold_221.59	130639969	130640659	chr1	1
evm.TU.scaffold_221.60	130674824	130695414	chr1	1
evm.TU.scaffold_221.61	130720898	130722317	chr1	1
evm.TU.scaffold_22.16	125605918	125607217	chr2	-1
evm.TU.scaffold_221.6	129494382	129500313	chr1	1
evm.TU.scaffold_221.62	130733642	130761332	chr1	-1
evm.TU.scaffold_221.63	130770760	130783437	chr1	-1
evm.TU.scaffold_221.64	130791589	130802464	chr1	1
evm.TU.scaffold_221.65	130809240	130810865	chr1	1
evm.TU.scaffold_221.66	130810957	130811487	chr1	1
evm.TU.scaffold_221.67	130813293	130813979	chr1	-1
evm.TU.scaffold_221.68	130814033	130815156	chr1	-1
evm.TU.scaffold_221.69	130829741	130832192	chr1	1
evm.TU.scaffold_221.70	130871975	130907115	chr1	1
evm.TU.scaffold_221.71	130926729	130926888	chr1	1
evm.TU.scaffold_221.72	130960136	131033168	chr1	1
evm.TU.scaffold_221.74	131037396	131043849	chr1	1
evm.TU.scaffold_221.75	131046031	131048894	chr1	1
evm.TU.scaffold_221.76	131015799	131060823	chr1	1
evm.TU.scaffold_221.77	131071333	131071732	chr1	1
evm.TU.scaffold_221.78_evm.TU.scaffold_221.79	131147665	131149108	chr1	-1
evm.TU.scaffold_221.80	131170413	131181576	chr1	1
evm.TU.scaffold_22.18	125672271	125672540	chr2	-1
evm.TU.scaffold_221.8	129506839	129507289	chr1	1
evm.TU.scaffold_221.9	129537524	129537795	chr1	1
evm.TU.scaffold_22.20	125707227	125712239	chr2	-1
evm.TU.scaffold_22.22	125746344	125749262	chr2	1
evm.TU.scaffold_22.23	125754061	125757093	chr2	-1
evm.TU.scaffold_22.25	125917941	125920438	chr2	-1
evm.TU.scaffold_22.30	126006484	126009705	chr2	-1
evm.TU.scaffold_22.31	126031497	126031780	chr2	-1
evm.TU.scaffold_22.5	125331997	125332604	chr2	-1
evm.TU.scaffold_226.11	28321810	28323516	chr11	-1
evm.TU.scaffold_226.1	28669295	28670044	chr11	1
evm.TU.scaffold_226.2	28668088	28669245	chr11	1
evm.TU.scaffold_226.6	28609873	28624902	chr11	1
evm.TU.scaffold_227.11	67518486	67519469	chr5	1
evm.TU.scaffold_227.12	67470319	67474014	chr5	1
evm.TU.scaffold_227.14	67380470	67412252	chr5	-1
evm.TU.scaffold_227.1	67793259	67806396	chr5	1
evm.TU.scaffold_227.18	67313295	67317736	chr5	1
evm.TU.scaffold_227.21	67265015	67266105	chr5	1
evm.TU.scaffold_227.22	67253154	67267834	chr5	1
evm.TU.scaffold_227.24	67233885	67235673	chr5	-1
evm.TU.scaffold_227.25	67199977	67202628	chr5	1
evm.TU.scaffold_227.2	67772780	67778975	chr5	-1
evm.TU.scaffold_227.27	67155168	67169969	chr5	-1
evm.TU.scaffold_227.28	67147359	67149150	chr5	-1
evm.TU.scaffold_227.29	67111143	67113799	chr5	1
evm.TU.scaffold_227.30	67085662	67106709	chr5	-1
evm.TU.scaffold_227.32	67060999	67062875	chr5	-1
evm.TU.scaffold_227.33	67049081	67053621	chr5	1
evm.TU.scaffold_227.34	67026876	67040826	chr5	-1
evm.TU.scaffold_227.35	66911454	66914244	chr5	1
evm.TU.scaffold_227.36	66909338	66910439	chr5	-1
evm.TU.scaffold_227.3	67732671	67741346	chr5	-1
evm.TU.scaffold_227.37	66907678	66909220	chr5	-1
evm.TU.scaffold_227.39	66824569	66875521	chr5	1
evm.TU.scaffold_227.40	66785395	66791391	chr5	-1
evm.TU.scaffold_227.43	66728553	66729205	chr5	1
evm.TU.scaffold_227.44	66713551	66719272	chr5	1
evm.TU.scaffold_227.4	67729889	67735189	chr5	1
evm.TU.scaffold_227.48	66632317	66632709	chr5	-1
evm.TU.scaffold_227.49	66597075	66597676	chr5	1
evm.TU.scaffold_227.50	66578249	66596993	chr5	1
evm.TU.scaffold_227.51	66577909	66578181	chr5	1
evm.TU.scaffold_227.52	66560052	66560864	chr5	-1
evm.TU.scaffold_227.53	66543965	66544357	chr5	1
evm.TU.scaffold_227.57	66385537	66399871	chr5	-1
evm.TU.scaffold_227.58	66373721	66378410	chr5	1
evm.TU.scaffold_227.59	66345977	66356060	chr5	1
evm.TU.scaffold_227.61	66322317	66323654	chr5	1
evm.TU.scaffold_227.62	66293702	66309455	chr5	1
evm.TU.scaffold_227.63	66288732	66293505	chr5	1
evm.TU.scaffold_227.6	67713976	67716620	chr5	1
evm.TU.scaffold_227.7	67680244	67691623	chr5	-1
evm.TU.scaffold_227.8	67664012	67671702	chr5	1
evm.TU.scaffold_2.2	80653605	80653961	chr1	-1
evm.TU.scaffold_228.2	64415728	64438991	chr1	-1
evm.TU.scaffold_228.3	64474311	64498065	chr1	1
evm.TU.scaffold_228.4	64501258	64501656	chr1	-1
evm.TU.scaffold_229.10	30977964	30980570	chr12	-1
evm.TU.scaffold_229.2	31379325	31381066	chr12	-1
evm.TU.scaffold_229.9	31066256	31069730	chr12	-1
evm.TU.scaffold_231.4	116397629	116399217	chr3	-1
evm.TU.scaffold_231.7	116344377	116346449	chr3	1
evm.TU.scaffold_231.9	116285264	116300678	chr3	1
evm.TU.scaffold_234.11	74055875	74070859	chr2	1
evm.TU.scaffold_234.12	74125972	74126481	chr2	1
evm.TU.scaffold_234.13	74137588	74151692	chr2	1
evm.TU.scaffold_234.14	74152593	74154111	chr2	-1
evm.TU.scaffold_234.15	74178581	74179851	chr2	1
evm.TU.scaffold_234.16	74181458	74192186	chr2	-1
evm.TU.scaffold_234.1	73490710	73497640	chr2	1
evm.TU.scaffold_234.17	74192266	74194349	chr2	-1
evm.TU.scaffold_234.19	74263367	74266255	chr2	1
evm.TU.scaffold_234.21	74391841	74392149	chr2	1
evm.TU.scaffold_234.22	74392952	74393838	chr2	1
evm.TU.scaffold_234.2	73498489	73507338	chr2	1
evm.TU.scaffold_234.3	73510057	73536042	chr2	-1
evm.TU.scaffold_234.4	73546166	73554376	chr2	-1
evm.TU.scaffold_234.5	73602557	73604762	chr2	-1
evm.TU.scaffold_234.6	73621484	73625668	chr2	1
evm.TU.scaffold_234.7	73851991	73856705	chr2	-1
evm.TU.scaffold_234.8	74018739	74019911	chr2	-1
evm.TU.scaffold_234.9	74020150	74020974	chr2	-1
evm.TU.scaffold_237.10	57358762	57362026	chr5	-1
evm.TU.scaffold_237.11	57371487	57373786	chr5	-1
evm.TU.scaffold_237.12	57374264	57381084	chr5	1
evm.TU.scaffold_237.13	57384643	57398125	chr5	-1
evm.TU.scaffold_237.14	57420101	57432365	chr5	-1
evm.TU.scaffold_237.15	57462086	57537662	chr5	-1
evm.TU.scaffold_237.1	56984252	57009163	chr5	1
evm.TU.scaffold_237.16	57553040	57554135	chr5	-1
evm.TU.scaffold_237.18	57602603	57602981	chr5	1
evm.TU.scaffold_237.19	57701758	57703947	chr5	1
evm.TU.scaffold_237.20	57774570	57786458	chr5	1
evm.TU.scaffold_237.21	57803852	57929158	chr5	1
evm.TU.scaffold_237.22	57927880	57931291	chr5	-1
evm.TU.scaffold_237.23	57933897	57968336	chr5	-1
evm.TU.scaffold_237.24	57986427	58023753	chr5	1
evm.TU.scaffold_237.25	58063713	58099870	chr5	-1
evm.TU.scaffold_237.2	57010960	57070267	chr5	1
evm.TU.scaffold_237.26	58174525	58220137	chr5	-1
evm.TU.scaffold_237.27	58243161	58280978	chr5	1
evm.TU.scaffold_237.28	58310925	58318064	chr5	1
evm.TU.scaffold_237.29	58323279	58335061	chr5	-1
evm.TU.scaffold_237.30	58344054	58356438	chr5	1
evm.TU.scaffold_237.31	58356773	58358480	chr5	1
evm.TU.scaffold_237.32	58406873	58420704	chr5	1
evm.TU.scaffold_237.33	58475178	58476404	chr5	1
evm.TU.scaffold_237.34	58556019	58559716	chr5	1
evm.TU.scaffold_237.3	57071362	57081922	chr5	-1
evm.TU.scaffold_237.36	58568427	58587305	chr5	1
evm.TU.scaffold_237.37	58591073	58591591	chr5	-1
evm.TU.scaffold_237.38	58592147	58597407	chr5	-1
evm.TU.scaffold_237.39	58630820	58639604	chr5	-1
evm.TU.scaffold_237.40	58648716	58650692	chr5	1
evm.TU.scaffold_237.41	58652545	58656811	chr5	-1
evm.TU.scaffold_237.42	58666127	58688492	chr5	1
evm.TU.scaffold_237.43	58714891	58715673	chr5	-1
evm.TU.scaffold_237.44	58727387	58727720	chr5	-1
evm.TU.scaffold_237.4	57108038	57109294	chr5	1
evm.TU.scaffold_237.5	57147898	57149050	chr5	1
evm.TU.scaffold_237.6	57205687	57209576	chr5	1
evm.TU.scaffold_237.7	57224887	57234275	chr5	1
evm.TU.scaffold_237.8	57245510	57249910	chr5	-1
evm.TU.scaffold_237.9	57329811	57330128	chr5	1
evm.TU.scaffold_2.3	80654001	80654258	chr1	-1
evm.TU.scaffold_238.10	9447348	9476706	chr7	-1
evm.TU.scaffold_238.11	9480731	9481651	chr7	-1
evm.TU.scaffold_238.12	9493609	9494518	chr7	-1
evm.TU.scaffold_238.1	8946715	8997597	chr7	-1
evm.TU.scaffold_238.2	9015689	9024428	chr7	1
evm.TU.scaffold_238.3	9066732	9072053	chr7	-1
evm.TU.scaffold_238.4	9104253	9165580	chr7	1
evm.TU.scaffold_238.5	9183109	9186570	chr7	-1
evm.TU.scaffold_238.6	9193216	9196104	chr7	1
evm.TU.scaffold_238.7	9286458	9288189	chr7	1
evm.TU.scaffold_238.8	9295499	9297021	chr7	1
evm.TU.scaffold_238.9	9357560	9389859	chr7	1
evm.TU.scaffold_240.10	40734235	40744431	chr6	1
evm.TU.scaffold_240.12	40538629	40611139	chr6	1
evm.TU.scaffold_240.1	40925875	40974515	chr6	-1
evm.TU.scaffold_240.20	40370865	40380828	chr6	-1
evm.TU.scaffold_240.21	40355973	40360370	chr6	1
evm.TU.scaffold_240.22	40305084	40311084	chr6	-1
evm.TU.scaffold_240.23	40297321	40304911	chr6	1
evm.TU.scaffold_240.2	40920675	40924462	chr6	-1
evm.TU.scaffold_240.25	40163671	40218474	chr6	-1
evm.TU.scaffold_240.27	40111155	40112573	chr6	1
evm.TU.scaffold_240.28	40074788	40077235	chr6	-1
evm.TU.scaffold_240.29	40041189	40069967	chr6	1
evm.TU.scaffold_240.31	39987554	39995479	chr6	-1
evm.TU.scaffold_240.34	39931227	39935388	chr6	-1
evm.TU.scaffold_240.35	39869067	39874021	chr6	-1
evm.TU.scaffold_240.36	39864768	39867760	chr6	1
evm.TU.scaffold_240.6	40865673	40866047	chr6	-1
evm.TU.scaffold_24.1	120036616	120037600	chr3	1
evm.TU.scaffold_243.10	26829866	26830042	chr5	-1
evm.TU.scaffold_243.1	27301053	27301267	chr5	1
evm.TU.scaffold_243.2	27300889	27301048	chr5	1
evm.TU.scaffold_243.3	27174704	27201099	chr5	-1
evm.TU.scaffold_243.4	27143727	27146103	chr5	-1
evm.TU.scaffold_243.5	27101985	27112487	chr5	1
evm.TU.scaffold_243.6	27024517	27049546	chr5	1
evm.TU.scaffold_243.8	26893182	26893595	chr5	-1
evm.TU.scaffold_243.9	26864381	26865630	chr5	-1
evm.TU.scaffold_244.1	112802412	112809710	chr5	1
evm.TU.scaffold_24.4	120186910	120189547	chr3	1
evm.TU.scaffold_244.16	113155261	113156855	chr5	1
evm.TU.scaffold_244.17	113213296	113213691	chr5	1
evm.TU.scaffold_244.18	113264286	113267524	chr5	1
evm.TU.scaffold_244.19	113269694	113275791	chr5	-1
evm.TU.scaffold_244.20	113286914	113289850	chr5	-1
evm.TU.scaffold_244.2	112812607	112833099	chr5	-1
evm.TU.scaffold_244.22	113297122	113300097	chr5	-1
evm.TU.scaffold_244.23	113306794	113311343	chr5	-1
evm.TU.scaffold_244.6	112913953	112915749	chr5	1
evm.TU.scaffold_24.5	120189690	120189884	chr3	1
evm.TU.scaffold_246.1	42091880	42185856	chr9	1
evm.TU.scaffold_246.2	42341996	42342893	chr9	1
evm.TU.scaffold_246.3	42698156	42830874	chr9	-1
evm.TU.scaffold_246.4	43083221	43119992	chr9	-1
evm.TU.scaffold_246.5	43235819	43265161	chr9	-1
evm.TU.scaffold_246.6	43287385	43292398	chr9	-1
evm.TU.scaffold_246.7	43342462	43343736	chr9	1
evm.TU.scaffold_247.11	51422665	51429606	chr5	1
evm.TU.scaffold_247.12	51285949	51413107	chr5	1
evm.TU.scaffold_247.1	51802454	51803905	chr5	1
evm.TU.scaffold_247.2	51781017	51797302	chr5	1
evm.TU.scaffold_247.3	51756837	51780039	chr5	1
evm.TU.scaffold_247.4	51640331	51753397	chr5	1
evm.TU.scaffold_247.5	51622981	51628532	chr5	1
evm.TU.scaffold_247.6	51596635	51598907	chr5	1
evm.TU.scaffold_247.7	51596022	51596501	chr5	1
evm.TU.scaffold_247.8	51529649	51568751	chr5	-1
evm.TU.scaffold_247.9	51499534	51528175	chr5	-1
evm.TU.scaffold_248.10	52244824	52252839	chr5	1
evm.TU.scaffold_24.8	120409418	120410034	chr3	1
evm.TU.scaffold_248.1	52873418	52873630	chr5	-1
evm.TU.scaffold_248.2	52857814	52871439	chr5	1
evm.TU.scaffold_248.3	52695936	52696313	chr5	-1
evm.TU.scaffold_248.4	52694562	52695866	chr5	-1
evm.TU.scaffold_248.5	52678746	52691796	chr5	-1
evm.TU.scaffold_248.6	52638041	52647088	chr5	1
evm.TU.scaffold_248.7	52547161	52548824	chr5	-1
evm.TU.scaffold_248.8	52543161	52546475	chr5	-1
evm.TU.scaffold_248.9	52392262	52397420	chr5	1
evm.TU.scaffold_249.1	65464907	65466851	chr1	-1
evm.TU.scaffold_249.2	65176375	65211870	chr1	1
evm.TU.scaffold_249.5_evm.TU.scaffold_249.3	64818561	64941646	chr1	1
evm.TU.scaffold_249.6	64648603	64648960	chr1	-1
evm.TU.scaffold_252.10	36570343	36679161	chr1	-1
evm.TU.scaffold_252.11	36699078	36741743	chr1	1
evm.TU.scaffold_252.12	36744444	36770647	chr1	-1
evm.TU.scaffold_252.13	36791650	36849788	chr1	1
evm.TU.scaffold_252.1	35813246	35813481	chr1	1
evm.TU.scaffold_252.14	36858610	36863451	chr1	-1
evm.TU.scaffold_252.15	36865751	36874790	chr1	1
evm.TU.scaffold_252.2	35821249	35827402	chr1	-1
evm.TU.scaffold_252.4	36245515	36247215	chr1	-1
evm.TU.scaffold_252.5	36311171	36342303	chr1	1
evm.TU.scaffold_252.6	36344431	36356602	chr1	-1
evm.TU.scaffold_252.7	36429958	36434811	chr1	1
evm.TU.scaffold_252.8	36442965	36516976	chr1	-1
evm.TU.scaffold_252.9	36539462	36547776	chr1	1
evm.TU.scaffold_253.100	60709279	60725768	chr5	-1
evm.TU.scaffold_253.101	60707218	60707813	chr5	-1
evm.TU.scaffold_253.10	63393175	63413616	chr5	1
evm.TU.scaffold_253.11	63382814	63388683	chr5	-1
evm.TU.scaffold_253.12	63348150	63359002	chr5	1
evm.TU.scaffold_253.13	63313173	63326728	chr5	-1
evm.TU.scaffold_253.14	63306210	63310931	chr5	1
evm.TU.scaffold_253.15	63295535	63298533	chr5	1
evm.TU.scaffold_253.16	63217575	63240488	chr5	1
evm.TU.scaffold_253.17	63204661	63217506	chr5	1
evm.TU.scaffold_253.18	63148901	63164830	chr5	-1
evm.TU.scaffold_253.19	63044324	63044959	chr5	-1
evm.TU.scaffold_253.21	62992037	63019409	chr5	-1
evm.TU.scaffold_253.22	62990572	62991315	chr5	-1
evm.TU.scaffold_253.23	62983283	62985461	chr5	-1
evm.TU.scaffold_253.24	62981122	62982823	chr5	-1
evm.TU.scaffold_253.25	62962185	62966141	chr5	1
evm.TU.scaffold_253.2	63569535	63580779	chr5	1
evm.TU.scaffold_253.26	62949591	62954668	chr5	1
evm.TU.scaffold_253.27	62940248	62941873	chr5	1
evm.TU.scaffold_253.28	62938441	62940180	chr5	1
evm.TU.scaffold_253.29	62890564	62911024	chr5	1
evm.TU.scaffold_253.30	62849301	62866194	chr5	-1
evm.TU.scaffold_253.31	62815007	62838297	chr5	-1
evm.TU.scaffold_253.32	62798825	62807795	chr5	-1
evm.TU.scaffold_253.33	62792706	62794480	chr5	-1
evm.TU.scaffold_253.34	62745927	62778212	chr5	1
evm.TU.scaffold_253.35	62711723	62721991	chr5	-1
evm.TU.scaffold_253.3	63568791	63569438	chr5	1
evm.TU.scaffold_253.36	62650796	62664212	chr5	-1
evm.TU.scaffold_253.37	62648207	62650252	chr5	1
evm.TU.scaffold_253.38	62539945	62600951	chr5	1
evm.TU.scaffold_253.39	62501523	62508601	chr5	-1
evm.TU.scaffold_253.40	62447085	62448401	chr5	-1
evm.TU.scaffold_253.41	62446055	62446370	chr5	-1
evm.TU.scaffold_253.42	62428201	62433062	chr5	1
evm.TU.scaffold_253.43	62386017	62417434	chr5	-1
evm.TU.scaffold_253.44	62335581	62348612	chr5	-1
evm.TU.scaffold_253.45	62315656	62317241	chr5	-1
evm.TU.scaffold_253.4	63502954	63508794	chr5	-1
evm.TU.scaffold_253.46	62299407	62313849	chr5	-1
evm.TU.scaffold_253.47	62296144	62299096	chr5	1
evm.TU.scaffold_253.48	62178798	62223410	chr5	1
evm.TU.scaffold_253.49	62135561	62136834	chr5	-1
evm.TU.scaffold_253.50	62081089	62082405	chr5	-1
evm.TU.scaffold_253.51	62078157	62080373	chr5	-1
evm.TU.scaffold_253.52	62058881	62063331	chr5	1
evm.TU.scaffold_253.53	62025040	62054564	chr5	-1
evm.TU.scaffold_253.54	61953294	61987572	chr5	-1
evm.TU.scaffold_253.55	61943327	61947045	chr5	1
evm.TU.scaffold_253.5	63486402	63502897	chr5	-1
evm.TU.scaffold_253.57	61929802	61933821	chr5	1
evm.TU.scaffold_253.58	61890475	61899859	chr5	-1
evm.TU.scaffold_253.59	61891100	61891904	chr5	1
evm.TU.scaffold_253.60	61876337	61887588	chr5	1
evm.TU.scaffold_253.61	61857208	61866089	chr5	-1
evm.TU.scaffold_253.62	61802796	61836467	chr5	-1
evm.TU.scaffold_253.63	61778409	61801023	chr5	-1
evm.TU.scaffold_253.6	63449806	63450033	chr5	1
evm.TU.scaffold_253.66	61706061	61712356	chr5	-1
evm.TU.scaffold_253.67	61696700	61700067	chr5	1
evm.TU.scaffold_253.68	61686382	61686729	chr5	-1
evm.TU.scaffold_253.69	61647121	61680267	chr5	-1
evm.TU.scaffold_253.70	61604243	61624371	chr5	-1
evm.TU.scaffold_253.71	61583429	61583889	chr5	-1
evm.TU.scaffold_253.72	61517004	61573860	chr5	1
evm.TU.scaffold_253.73	61551798	61564151	chr5	-1
evm.TU.scaffold_253.74	61542954	61543933	chr5	-1
evm.TU.scaffold_253.75	61519317	61520804	chr5	1
evm.TU.scaffold_253.7	63449490	63449801	chr5	1
evm.TU.scaffold_253.76	61501441	61513463	chr5	-1
evm.TU.scaffold_253.77	61500987	61501343	chr5	-1
evm.TU.scaffold_253.78	61485221	61500922	chr5	-1
evm.TU.scaffold_253.79	61469394	61469991	chr5	1
evm.TU.scaffold_253.80	61406178	61407767	chr5	1
evm.TU.scaffold_253.81	61331901	61339959	chr5	-1
evm.TU.scaffold_253.82	61326181	61326839	chr5	-1
evm.TU.scaffold_253.83	61314417	61325744	chr5	-1
evm.TU.scaffold_253.84	61286623	61287900	chr5	-1
evm.TU.scaffold_253.8	63436987	63446935	chr5	-1
evm.TU.scaffold_253.86	61216941	61217542	chr5	-1
evm.TU.scaffold_253.87	61129050	61137992	chr5	1
evm.TU.scaffold_253.88	61122508	61123665	chr5	1
evm.TU.scaffold_253.89	61070067	61085590	chr5	1
evm.TU.scaffold_253.90	61013719	61050289	chr5	-1
evm.TU.scaffold_253.91	60990539	61008360	chr5	-1
evm.TU.scaffold_253.92	60971780	60986173	chr5	1
evm.TU.scaffold_253.93	60923819	60945621	chr5	1
evm.TU.scaffold_253.94	60906184	60916941	chr5	-1
evm.TU.scaffold_253.95	60866163	60867623	chr5	-1
evm.TU.scaffold_253.9	63416685	63434449	chr5	1
evm.TU.scaffold_253.96	60844718	60846639	chr5	-1
evm.TU.scaffold_253.97	60817085	60822590	chr5	-1
evm.TU.scaffold_253.98	60775337	60791607	chr5	-1
evm.TU.scaffold_253.99	60751887	60772437	chr5	-1
evm.TU.scaffold_254.100	101144419	101144700	chr1	1
evm.TU.scaffold_254.10	104003114	104010141	chr1	1
evm.TU.scaffold_254.101	101031764	101042914	chr1	-1
evm.TU.scaffold_254.102	100977038	101006107	chr1	-1
evm.TU.scaffold_254.1	104580524	104582054	chr1	1
evm.TU.scaffold_254.111	100597509	100598468	chr1	1
evm.TU.scaffold_254.114	100330641	100331329	chr1	1
evm.TU.scaffold_254.116	100254948	100283850	chr1	1
evm.TU.scaffold_254.12	103906230	103923212	chr1	1
evm.TU.scaffold_254.13	103891194	103893780	chr1	-1
evm.TU.scaffold_254.14	103866317	103873597	chr1	1
evm.TU.scaffold_254.15	103816205	103836297	chr1	1
evm.TU.scaffold_254.17	103771714	103772517	chr1	-1
evm.TU.scaffold_254.18	103768457	103771588	chr1	-1
evm.TU.scaffold_254.19	103749658	103751083	chr1	-1
evm.TU.scaffold_254.23	103720865	103729513	chr1	-1
evm.TU.scaffold_254.30	103463138	103463298	chr1	1
evm.TU.scaffold_254.3	104533335	104534063	chr1	1
evm.TU.scaffold_254.34	103389294	103401966	chr1	-1
evm.TU.scaffold_254.35	103332621	103353787	chr1	1
evm.TU.scaffold_254.36	103317282	103317659	chr1	1
evm.TU.scaffold_254.37	103307917	103317162	chr1	1
evm.TU.scaffold_254.40	103245778	103247801	chr1	1
evm.TU.scaffold_254.41	103199752	103212619	chr1	-1
evm.TU.scaffold_254.44	103043230	103147781	chr1	1
evm.TU.scaffold_254.45	103034892	103043113	chr1	1
evm.TU.scaffold_254.47	102993022	103003830	chr1	1
evm.TU.scaffold_254.48	102978001	102980704	chr1	1
evm.TU.scaffold_254.50	102931154	102949130	chr1	1
evm.TU.scaffold_254.5	104189274	104416826	chr1	1
evm.TU.scaffold_254.54	102847643	102850728	chr1	-1
evm.TU.scaffold_254.55	102813419	102814899	chr1	-1
